"","Dim.1","Dim.2","Dim.3"
"1",0.0590395251945346,-0.0658781198815508,-0.404276217864457
"2",0.142686387468006,0.708597292890685,0.310056212865537
"3",0.51563919627303,0.589745171063933,-0.0875844140276942
"4",0.381096194702583,0.101693089127972,-0.218140016546027
"5",0.748776478026847,-0.308700240556741,0.282591243419075
"6",0.687742339289658,-0.220582742294466,0.523462006156155
"7",0.19155211835842,-0.319592994283568,-0.186138933920964
"8",0.830181251470333,-0.214302128393686,0.339648094163821
"9",0.782239556490633,-0.216416040043998,0.401515672108981
"10",1.03573136004554,0.167675634092464,0.740101098045527
"11",-0.161633409741676,0.12007482000242,-0.412880811536577
"12",0.199078451355252,0.783849478325701,0.128189856667675
"13",0.0986595793804231,1.02076312835679,-0.347994351163069
"14",-0.11369184285969,0.601082686811196,-0.187985425985992
"15",0.588041171357796,-0.534808191537872,0.0990302572828268
"16",0.350655072080619,-0.0855631073000351,-0.0851303451484919
"17",-0.692287367242315,0.267349946848493,-0.23954182385088
"18",0.862637385476326,-0.353175899050154,0.0472981493515038
"19",-1.89995192596357,1.22836237001564,-0.800072693871252
"20",-0.00916889927335547,0.272671062033555,-0.181655090276973
"21",0.287456525973041,-0.848286023992891,-0.0490194359238308
"22",0.678761181671565,-0.311787452027426,0.372944260901001
"23",0.0029605287098754,0.31655618522163,-0.675657004317032
"24",0.40620779174355,0.383104854914277,-0.335165882934876
"25",0.983920772855948,-0.0515387088601643,0.419707753361827
"26",1.07356500955631,0.113015529519038,0.590722861073784
"27",-5.74059130138349,-0.421515319013425,0.799821038400951
"28",0.74778657572491,0.396782312015105,0.0366786129802428
"29",-5.18562632824197,-0.39704503437423,0.0836523933998592
"30",-1.21269418970032,1.2089012764406,-0.758416045794469
"31",0.177306521391072,0.290605551105771,-0.436857964494466
"32",-0.414621375604022,-2.10722713193274,-1.33514855660513
"33",0.952421051190752,-0.208912161750451,0.181900639877814
"34",-2.96225616439773,-2.21956097542848,1.95251146330527
"35",0.427815160052855,-0.541873098861735,0.305797983109961
"36",0.297602184754171,0.47790036564223,-0.506880015733209
"37",0.534534968334918,-0.420334668286407,0.376643473166635
"38",-0.553137909904205,1.33933750925176,-0.0275760651073026
"39",1.09033930930024,0.0532506905625989,0.461066105753904
"40",0.293083934360014,0.487783796113767,-0.516165726050894
"41",1.0980654906466,-0.160612472869536,0.0687083648297528
"42",0.326504150983478,-1.1776009118287,-0.690361506552308
"43",0.965572103040852,-0.208332287348189,0.164929530997716
"44",1.00125408864444,-0.125047130524705,0.264751158425738
"45",0.0757008364605994,0.534083113248977,-0.492483459072583
"46",0.895051732849411,-0.404438263518855,-0.0885945422723708
"47",0.744666630448495,-0.593251855772913,-0.219750660659387
"48",-5.74059130138349,-0.421515319013425,0.799821038400951
"49",-0.206526326861106,1.02250077033409,-0.706132042037507
"50",0.897168498250363,-0.302157133966609,0.091094991951419
"51",0.572921496875006,-0.316454282076958,0.509527770341272
